date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover
2026-01-05,4661.6201,4717.7500,4721.6401,4661.6201,234100.0000,,,,,
2026-01-06,4719.2100,4790.6899,4790.6899,4718.0098,297000.0000,,,,,
2026-01-07,4796.9302,4776.6699,4802.6001,4751.0698,259100.0000,,,,,
2026-01-08,4761.0098,4737.6499,4765.4902,4717.0098,238800.0000,,,,,
2026-01-09,4725.9600,4758.9199,4771.4302,4719.1299,254700.0000,,,,,
2026-01-12,4769.6499,4789.9199,4795.9302,4737.5698,294800.0000,,,,,
2026-01-13,4798.0498,4761.0298,4836.9600,4745.5200,301400.0000,,,,,
2026-01-14,4767.7002,4741.9302,4818.1001,4720.2500,365000.0000,,,,,
2026-01-15,4721.7998,4751.4302,4769.5498,4720.9399,254000.0000,,,,,
2026-01-16,4778.4302,4731.8701,4792.5498,4715.3701,325300.0000,,,,,
2026-01-19,4720.1899,4734.4600,4761.6299,4715.0898,267600.0000,,,,,
2026-01-20,4736.9102,4718.8799,4748.2300,4684.9702,282700.0000,,,,,
2026-01-21,4714.5498,4723.0698,4758.2798,4714.2402,266400.0000,,,,,
2026-01-22,4741.7598,4723.7100,4757.7598,4700.4502,274200.0000,,,,,
2026-01-23,4729.5898,4702.5000,4734.7900,4684.6201,314600.0000,,,,,
2026-01-26,4715.3799,4706.9600,4754.1802,4693.1602,363000.0000,,,,,
2026-01-27,4705.1699,4705.6899,4736.9902,4675.6401,301500.0000,,,,,
2026-01-28,4725.6001,4717.9902,4739.6299,4697.9102,382300.0000,,,,,
2026-01-29,4733.0898,4753.8701,4770.9600,4696.0498,415500.0000,,,,,
2026-01-30,4723.0801,4706.3398,4738.8701,4645.4702,319800.0000,,,,,
2026-02-02,4674.2798,4605.9800,4716.6099,4601.7598,304800.0000,,,,,
2026-02-03,4648.3599,4660.1099,4662.1299,4578.2100,265500.0000,,,,,
2026-02-04,4647.9702,4698.6802,4701.4800,4641.8398,264900.0000,,,,,
2026-02-05,4664.7500,4670.4199,4687.0200,4639.4302,237900.0000,,,,,
2026-02-06,4622.9800,4643.6001,4678.2598,4606.6401,202700.0000,,,,,
2026-02-09,4693.6699,4719.0601,4719.9600,4679.8999,207300.0000,,,,,
2026-02-10,4718.2598,4724.2998,4732.0898,4713.8701,187000.0000,,,,,
2026-02-11,4715.6699,4713.8198,4723.7002,4703.6899,173400.0000,,,,,
2026-02-12,4720.0098,4719.5801,4726.0400,4707.7402,197800.0000,,,,,
2026-02-13,4693.4102,4660.4102,4703.6299,4658.3999,189200.0000,,,,,
2026-02-24,4727.2998,4707.5400,4727.3701,4698.3501,218500.0000,,,,,
2026-02-25,4713.5801,4735.8901,4766.5601,4713.3398,284300.0000,,,,,
2026-02-26,4741.3901,4726.8701,4742.1499,4706.6899,234800.0000,,,,,
2026-02-27,4698.2998,4710.6499,4721.0098,4692.8901,261400.0000,,,,,
2026-03-02,4681.0098,4728.6699,4735.4102,4667.2798,349300.0000,,,,,
2026-03-03,4737.3198,4655.8999,4744.6001,4651.4102,370600.0000,,,,,
2026-03-04,4609.1899,4602.6299,4639.4199,4575.8301,303000.0000,,,,,
2026-03-05,4651.9399,4647.6899,4671.5298,4630.2998,259300.0000,,,,,
2026-03-06,4621.4902,4660.4399,4671.7100,4612.7900,238500.0000,,,,,
2026-03-09,4600.2500,4615.4600,4625.9800,4548.9702,322800.0000,,,,,
2026-03-10,4648.7900,4674.7598,4677.6001,4648.7900,263900.0000,,,,,
2026-03-11,4681.0298,4704.5000,4711.8701,4674.7100,270200.0000,,,,,
2026-03-12,4700.7202,4687.5601,4704.3799,4654.3198,303000.0000,,,,,
2026-03-13,4669.0601,4669.1401,4707.4199,4659.5000,310800.0000,,,,,
2026-03-16,4669.2202,4671.5601,4673.6899,4621.8101,296200.0000,,,,,
2026-03-17,4685.5698,4637.4399,4720.8599,4637.3701,263000.0000,,,,,
2026-03-18,4648.7500,4658.3301,4662.2900,4604.5200,234700.0000,,,,,
2026-03-19,4611.4399,4583.2500,4634.5498,4570.3901,254100.0000,,,,,
2026-03-20,4602.8198,4567.0200,4628.7100,4563.0698,257900.0000,,,,,
2026-03-23,4499.1001,4418.0000,4514.7202,4397.5698,328100.0000,,,,,
2026-03-24,4458.9102,4474.7202,4474.8301,4394.2900,255500.0000,,,,,
2026-03-25,4506.6299,4537.4702,4542.1802,4502.0298,262600.0000,,,,,
2026-03-26,4525.3301,4477.5298,4541.0498,4468.9600,213700.0000,,,,,
2026-03-27,4431.5000,4502.5698,4519.8901,4431.4199,192400.0000,,,,,
2026-03-30,4461.7402,4491.9502,4496.4102,4447.1401,209300.0000,,,,,
2026-03-31,4491.9199,4450.0498,4523.1699,4450.0498,224500.0000,,,,,
2026-04-01,4517.2700,4526.0698,4532.1099,4492.0498,216500.0000,,,,,
2026-04-02,4514.4414,4478.9141,4519.6929,4459.6094,1919346916.0000,,,,,
