date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover
2026-01-05,3986.97,4023.42,4025.26,3983.58,596950455,1067334169201.50,1.05,1.38,54.58,1.24
2026-01-06,4026.02,4083.67,4083.67,4025.09,702472270,1175768705035.00,1.46,1.50,60.25,1.46
2026-01-07,4083.84,4085.77,4098.78,4069.44,683384352,1197422798276.70,0.72,0.05,2.10,1.42
2026-01-08,4077.72,4082.98,4093.87,4067.12,666131337,1183188755951.40,0.65,-0.07,-2.79,1.39
2026-01-09,4086.76,4120.43,4121.72,4083.62,729837985,1289205972263.20,0.93,0.92,37.45,1.52
2026-01-12,4134.89,4165.29,4168.36,4119.88,839456089,1446230122005.30,1.18,1.09,44.86,1.75
2026-01-13,4169.70,4138.76,4179.70,4126.23,868382717,1481574218613.40,1.28,-0.64,-26.53,1.81
2026-01-14,4138.65,4126.09,4190.87,4103.62,952551289,1607041237767.90,2.11,-0.31,-12.67,1.99
2026-01-15,4106.22,4112.60,4133.07,4096.85,680250791,1175915097396.10,0.88,-0.33,-13.49,1.42
2026-01-16,4127.06,4101.91,4140.23,4091.81,763588465,1338017280024.00,1.18,-0.26,-10.69,1.59
2026-01-19,4090.72,4114.00,4126.52,4090.06,688905870,1190137813599.00,0.89,0.29,12.09,1.44
2026-01-20,4116.37,4113.65,4128.93,4080.29,734362496,1221485626208.50,1.18,-0.01,-0.35,1.53
2026-01-21,4103.53,4116.94,4135.96,4103.53,666989507,1180184557006.20,0.79,0.08,3.29,1.39
2026-01-22,4126.07,4122.58,4140.84,4109.92,709695409,1201764210237.40,0.75,0.14,5.64,1.48
2026-01-23,4130.11,4136.16,4143.75,4120.20,782115454,1336857054837.60,0.57,0.33,13.58,1.63
2026-01-26,4144.78,4132.61,4160.99,4124.70,887439731,1451859840027.30,0.88,-0.09,-3.55,1.85
2026-01-27,4125.22,4139.90,4158.80,4101.83,754990869,1289432378945.40,1.38,0.18,7.29,1.57
2026-01-28,4150.22,4151.24,4170.15,4138.02,823026748,1365526057112.00,0.78,0.27,11.34,1.72
2026-01-29,4155.92,4157.98,4170.21,4138.30,905908371,1485795395416.20,0.77,0.16,6.74,1.89
